Tr??ng thông tin,Marketing/ Sales,IP executive,IP manager,K? toán,Giám ??c,T?ng giám ??c,,,,Nhóm vai trò & ph?m vi t?ng quát,,,Nguyên t?c phân quy?n ,,,,
I. Nhóm thông tin chung,,,,,,,,,,Vai trò,Ph?m vi chính,,Xem (R – Read): ???c xem d? li?u,,,,
Doanh nghi?p,W,W,W,R,A,A,,,,Nhân viên Marketing,"Lead, thông tin DN, nhu c?u",,Nh?p/S?a (W – Write): ???c t?o & ch?nh s?a,,,,
Quy mô DN,W,W,W,–,A,A,,,,Nhân viên SHTT,"H? s? SHTT, ??n, pháp lý",,"Phê duy?t (A – Approve): xác nh?n chính th?c, khóa d? li?u (bao g?m c? W)",,,,
Mã s? thu?,W,W,W,R,A,A,,,,Qu?n lý SHTT,Ki?m soát chuyên môn & ti?n ??,,?n (–): không nhìn th?y,,,,
??a ch?,W,W,W,R,A,A,,,,K? toán,Ti?n – phí – l? phí,,,,,,
Ng??i ??i di?n,W,W,W,R,A,A,,,,Giám ??c,Duy?t h?p ??ng – tài chính,,,,,,
Ch?c v?,W,W,W,–,A,A,,,,T?ng giám ??c,"Toàn quy?n, giám sát",,,,,,
CCCD/H? chi?u,–,W,W,–,A,A,,,,,,,,,,,
S?T / Email DN,W,W,W,–,A,A,,,,,,,,,,,
Ng??i liên h? + S?T + Email,W,W,W,–,A,A,,,,,,,,,,,
"Marketing là ng??i nh?p chính, các b? ph?n khác ch? xem.",,,,,,,,,,,,,,,,,
II. Nhu c?u - Lead - Ti?m n?ng,,,,,,,,,,,,,,,,,
Nhu c?u DN,W,W,W,–,A,A,,,,,,,,,,,
M?c ?? ti?m n?ng,W,W,A,–,A,A,,,,,,,,,,,
?u tiên,W,W,A,–,A,A,,,,,,,,,,,
Phân lo?i ngu?n,W,W,W,–,A,A,,,,,,,,,,,
Ngu?n NSNN,W,W,W,R,A,A,,,,,,,,,,,
III. Thông tin SHTT c?t lõi,,,,,,,,,,,,,,,,,
Th??ng hi?u,R,W,A,–,A,A,,,,,,,,,,,
S?n ph?m/DV,R,W,A,–,A,A,,,,,,,,,,,
Nhóm SHTT,–,W,A,–,A,A,,,,,,,,,,,
Ch? s? h?u,–,W,A,–,A,A,,,,,,,,,,,
Lãnh th? b?o h?,–,W,A,–,A,A,,,,,,,,,,,
U? quy?n,–,W,A,–,A,A,,,,,,,,,,,
Nhân viên SHTT làm – Qu?n lý SHTT duy?t,,,,,,,,,,,,,,,,,
IV. H? s? ??n – v?n b?ng – pháp lý,,,,,,,,,,,,,,,,,
Tình tr?ng n?p ??n,–,W,A,–,A,A,,,,,,,,,,,
Ngày n?p ??n,–,W,A,–,A,A,,,,,,,,,,,
Mã ??n/Công b?/VB,–,W,A,–,A,A,,,,,,,,,,,
Ngày c?p,–,W,A,–,A,A,,,,,,,,,,,
Ngày h?t h?n,–,W,A,–,A,A,,,,,,,,,,,
Tình tr?ng xét duy?t,–,W,A,–,A,A,,,,,,,,,,,
H?n x? lý,–,W,A,–,A,A,,,,,,,,,,,
V. Gia h?n & nh?c vi?c,,,,,,,,,,,,,,,,,
Chu k? gia h?n,–,W,A,–,A,A,,,,,,,,,,,
Ngày c?n gia h?n,–,W,A,–,A,A,,,,,,,,,,,
Ngày nh?c (tr??c 3 tháng),–,W,A,–,A,A,,,,,,,,,,,
Tr?ng thái nh?c,–,W,A,–,A,A,,,,,,,,,,,
Qu?n lý SHTT ch?u trách nhi?m pháp lý cu?i,,,,,,,,,,,,,,,,,
VI. H?p ??ng – tài chính,,,,,,,,,,,,,,,,,
Tình tr?ng t? v?n,R,W,W,–,A,A,,,,,,,,,,,
Tình tr?ng h?p ??ng,R,W,W,R,A,A,,,,,,,,,,,
S? h?p ??ng,–,W,W,W,A,A,,,,,,,,,,,
Giá tr? h?p ??ng,–,W,W,W,A,A,,,,,,,,,,,
L? phí NN,–,W,W,W,A,A,,,,,,,,,,,
Phí phát sinh,–,W,W,W,A,A,,,,,,,,,,,
VII. H? th?ng – ki?m soát,,,,,,,,,,,,,,,,,
Ng??i t?o,auto,auto,auto,auto,auto,auto,,,,,,,,,,,
Ng??i c?p nh?t,auto,auto,auto,auto,auto,auto,,,,,,,,,,,
Ngày c?p nh?t,auto,auto,auto,auto,auto,auto,,,,,,,,,,,
Link h? s? gi?y t?,R,W,A,R,W,W,,,,,,,,,,,
