PHÂN QUY?N QU?N LÝ CHI PHÍ (THEO TR??NG),,,,,,,,,,,,
Tr??ng,Nhân viên,Qu?n lý,K? toán,Giám ??c,T?ng giám ??c,,,,Quy ??c dùng trong b?ng,,Quy ??c ph?m vi xem,
I. Nhóm thông tin ?? ngh? – hành chính,,,,,,,,,CREATE: t?o m?i,,Nhân viên,Ch? xem ???c các ?? ngh? do chính mình t?o
Ng??i ?? ngh?,CREATE,READ,READ,READ,READ,,,,READ: xem,,Qu?n lý,Xem ???c các ?? ngh? phòng ban c?a mình
Phòng ban,CREATE,READ,READ,READ,READ,,,,UPDATE: ch?nh s?a,,K? toán,Xem t?t c? các ?? ngh? ???c Qu?n lý/ Giám ??c phê duy?t
?u tiên,CREATE,UPDATE,READ,READ,READ,,,,APPROVE: phê duy?t,,Giám ??c,Xem ???c t?t c? các d? li?u c?a công ty
Ngày phát sinh giao d?ch,CREATE,READ,UPDATE,READ,READ,,,,REJECT: t? ch?i,,T?ng giám ??c,Xem ???c toàn b? d? li?u các công ty trong Holding
Mã d? án,CREATE,READ,READ,READ,READ,,,,SYSTEM: h? th?ng t? sinh (không cho s?a),,,
II. Nhóm n?i dung chi phí,,,,,,,,,NONE: không có quy?n,,,
N?i dung,CREATE,UPDATE,READ,READ,READ,,,,,,,
Di?n gi?i,CREATE,UPDATE,READ,READ,READ,,,,,,,
Lo?i giao d?ch,CREATE,UPDATE,READ,READ,READ,,,,,,,
Lo?i ch?ng t?,CREATE,UPDATE,READ,READ,READ,,,,,,,
??i t??ng Thu/Chi,CREATE,UPDATE,READ,READ,READ,,,,,,,
Ghi chú,CREATE,UPDATE,UPDATE,READ,READ,,,,,,,
III. Nhóm ti?n – thu?,,,,,,,,,,,,
S? ti?n (Ch?a thu?),CREATE,READ,UPDATE,READ,READ,,,,,,,
Thu? su?t,CREATE,READ,UPDATE,READ,READ,,,,,,,
T?ng ti?n,SYSTEM,SYSTEM,SYSTEM,READ,READ,,,,,,,
Mã s? thu?,CREATE,NONE,UPDATE,READ,READ,,,,,,,
IV. Nhóm hóa ??n – ch?ng t?,,,,,,,,,,,,
S? hóa ??n / Ch?ng t? / H?p ??ng,CREATE,READ,UPDATE,READ,READ,,,,,,,
Ngày hóa ??n / Ch?ng t? / H?p ??ng,CREATE,READ,UPDATE,READ,READ,,,,,,,
File ?ính kèm,CREATE,READ,UPDATE,READ,READ,,,,,,,
V. Nhóm thanh toán,,,,,,,,,,,,
Ph??ng th?c thanh toán,CREATE,NONE,UPDATE,READ,READ,,,,,,,
Tài kho?n,CREATE,NONE,UPDATE,READ,READ,,,,,,,
Ngân hàng,CREATE,NONE,UPDATE,READ,READ,,,,,,,
Tr?ng thái thanh toán,CREATE,NONE,UPDATE,READ,READ,,,,,,,
VI. Nhóm phê duy?t – ki?m soát,,,,,,,,,,,,
Qu?n lý duy?t,READ,UPDATE,READ,READ,READ,,,,,,,
Giám ??c duy?t,READ,READ,READ,UPDATE,READ,,,,,,,
K? toán review,READ,READ,UPDATE,READ,READ,,,,,,,
Lý do ?i?u ch?nh,NONE,CREATE,UPDATE,UPDATE,READ,,,,,,,
Lý do t? ch?i,NONE,CREATE,NONE,UPDATE,READ,,,,,,,
C? ki?m soát r?i ro,NONE,READ,READ,UPDATE,UPDATE,,,,,,,
