STT,Doanh nghi?p,Quy mô doanh nghi?p,Mã s? thu?,??a ch?,Ng??i ??i di?n,Ch?c v?,CCCD/ H? chi?u,S? ?i?n tho?i,Email,Ng??i liên h?,S?T ng??i liên h?,Email ng??i liên h?,Nhu c?u c?a DN,Th??ng hi?u,S?n ph?m/ D?ch v? ?i kèm th??ng hi?u,Nhóm SHTT sau khi phân lo?i,Ch? s? h?u,Lãnh th? b?o h?,Ng??i t?o,Ngày b?t ??u,Ngày k?t thúc,S? ngày tri?n khai,M?c ?? ti?m n?ng,?u tiên,Tình tr?ng t? v?n,Tình tr?ng h?p ??ng,S? h?p ??ng,Giá tr? h?p ??ng,L? phí nhà n??c,Tình tr?ng n?p ??n,Ngày n?p ??n,Mã ??n/ Công b?/ V?n b?ng,Ngày c?p,Ngày h?t h?n,Phân lo?i ngu?n,Ngu?n NSNN,Link h? s? gi?y t? ,U? quy?n,Tình tr?ng xét duy?t ??n,H?n x? lý,Chu k? gia h?n,Ngày c?n gia h?n,Ngày nh?c h?n (tr??c 3 tháng),Tr?ng thái nh?c,Phí phát sinh,Ng??i c?p nh?t,Ngày c?p nh?t
,,Siêu nh?,,,,,,,,,,,B?n quy?n,,??ng ký,,,Vi?t Nam,,,,(Setup ch? này b?ng Ngày k?t thúc - Ngày b?t ??u),Cao,M?c 1,Ch?a t? v?n,?ã g?i,,,,Ch?a tri?n khai,,,,,NSNN,TACs,,Ch?a có,?ang xét duy?t,,5 n?m,,,,,,
,,Nh?,,,,,,,,,,,Công b?,,Gia h?n,,,US,,,,,Trung bình,M?c 2,?ang t? v?n,??i ph?n h?i,,,,?ang vi?t h? s?,,,,,Vãng lai,S? TC Hu?,,?ã có,Có OA ch?a ph?n h?i,,10 n?m,,,,,,
,,V?a,,,,,,,,,,,Nhãn hi?u,,S?a ??i,,,Madrid,,,,,Th?p,M?c 3,?ã t? v?n,?ã kí,,,,?ã vi?t h? s?,,,,,??i tác,S? CT Qu?ng Tr?,,,???c duy?t,,,,,,,,
,,,,,,,,,,,,,Ki?u dáng công nghi?p,,Ph?n ??i,,,Wipo,,,,,Th?p,M?c 4,,T?m ng?ng,,,,,,,,,??i tác,S? CT H?u Giang,,,Có OA ?ã ph?n h?i,,,,,,,,
,,,,,,,,,,,,,,,Khi?u n?i,,,,,,,,,,,?ã thanh toán H?,,,,,,,,,S? ki?n,Chi c?c PTNT Lâm ??ng,,,T? ch?i,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H?t h?n,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
